id,name,year,glottocode,map_name_full,note
1,Angaité,2011,anga1316,Mapa 1,
2,Ava guarani-chané,2011,chan1322,Mapa 1,
3,Ayoreo,2011,ayor1240,Mapa 1,
4,Chorote,2011,iyow1239,Mapa 1,
5,Enlhet,2011,sout2989,Mapa 1,
6,Enlhet norte,2011,nort2971,Mapa 1,
7,Enxet sur,2011,sout2989,Mapa 1,
8,Guarani occidental,2011,tupi1282,Mapa 1,
9,Guarani ñandeva,2011,tupi1282,Mapa 1,
10,Ishir,2011,cham1315,Mapa 1,
11,Maká,2011,maca1260,Mapa 1,
12,Mocoví,2011,moco1246,Mapa 1,
13,Nivaklé,2011,niva1238,Mapa 1,
14,Pilagá,2011,pila1245,Mapa 1,
15,Sanapana,2011,sana1298,Mapa 1,
16,Tapiete,2011,tapi1253,Mapa 1,
17,Toba,2011,toba1269,Mapa 1,
18,Tomaraho,2011,cham1316,Mapa 1,
19,Vilela,2011,vile1241,Mapa 1,
20,Wichi,2011,wich1264,Mapa 1,
